city,salary_men,salary_women,population
Port-en-Bessin-Huppain,12.5,10.7,1970
La Rivière-Saint-Sauveur,15.4,11.7,2287
Saint-Aubin-sur-Mer,15.3,12.1,2431
Saint-Contest,19.9,14.1,2391
Saint-Germain-la-Blanche-Herbe,12.9,11.5,2346
Saint-Martin-de-Fontenay,14.4,11.5,2454
Saint-Pierre-sur-Dives,11.4,10.0,3284
Saint-Vigor-le-Grand,13.7,11.1,2213
Soliers,14.3,12.0,2083
Touques,12.4,11.1,3739
Troarn,13.7,11.4,3432
Trouville-sur-Mer,13.9,11.2,4562
Verson,15.1,11.9,3277
Villers-Bocage,12.1,10.8,4261
Villers-sur-Mer,13.8,11.5,2717
Arpajon-sur-Cère,13.1,11.2,6021
Aurillac,12.2,10.8,24525
Mauriac,11.4,10.6,3637
Maurs,11.4,10.0,2006
Riom-ès-Montagnes,12.3,10.3,2406
Saint-Flour,11.8,10.1,6230
Ytrac,13.0,11.4,3967
Angoulême,13.9,11.8,40702
Barbezieux-Saint-Hilaire,12.9,11.1,4312
Brie,13.5,11.3,5382
Champniers,14.7,12.1,5540
Chasseneuil-sur-Bonnieure,12.3,10.2,2960
Châteaubernard,13.8,11.6,3380
Châteauneuf-sur-Charente,12.8,10.7,3222
Cherves-Richemont,15.3,11.7,2313
Cognac,14.6,12.1,18120
Confolens,13.0,11.1,2425
La Couronne,12.7,10.8,7328
Fléac,15.4,12.2,3524
Gond-Pontouvre,13.1,11.3,5556
L'Isle-d'Espagnac,14.0,11.8,5065
Jarnac,13.5,11.4,4108
Linars,14.7,11.7,2057
Roumazières-Loubert,12.1,10.4,2360
Magnac-sur-Touvre,14.5,12.2,3021
Montbron,11.8,10.6,1955
Mornac,13.6,11.9,2148
Mouthiers-sur-Boëme,14.8,11.5,2388
Nersac,12.9,11.4,2390
Puymoyen,17.8,13.6,2375
La Rochefoucauld,12.4,10.6,2740
Roullet-Saint-Estèphe,12.6,11.3,4081
Ruelle-sur-Touvre,13.7,11.1,7076
Ruffec,11.8,10.2,3647
Saint-Michel,12.6,11.4,7643
Saint-Yrieix-sur-Charente,14.9,12.4,7016
Segonzac,12.9,11.2,2436
Soyaux,13.2,11.5,9091
Aigrefeuille-d'Aunis,13.2,11.0,3724
Andilly,14.5,11.4,5418
Angoulins,15.7,11.7,3720
Arvert,11.0,10.4,3172
Aytré,13.5,11.5,8554
Le Bois-Plage-en-Ré,14.8,11.7,2304
Bourcefranc-le-Chapus,11.9,10.5,3294
Breuillet,13.0,11.5,10904
Chaniers,13.7,11.5,3447
Le Château-d'Oléron,12.3,10.4,3886
Châtelaillon-Plage,15.9,12.2,5870
Cozes,11.1,10.4,2028
Dolus-d'Oléron,12.7,10.6,3234
Dompierre-sur-Mer,15.6,12.1,5251
Échillais,13.9,10.8,3318
Esnandes,14.0,11.2,2035
Étaules,12.0,10.7,2540
La Flotte,14.2,11.6,2830
Fontcouverte,14.9,12.4,2782
Fouras,15.0,11.7,3980
Gémozac,12.3,10.7,2684
Le Gua,11.1,10.2,3570
L'Houmeau,18.6,12.8,2680
La Jarne,14.6,11.7,2380
La Jarrie,14.5,11.8,3040
Jonzac,11.9,10.5,3257
Lagord,16.9,12.8,6902
Marans,12.4,10.7,4877
Marennes,11.6,10.4,6971
Marsilly,17.1,12.4,3409
Matha,11.6,11.1,2010
Médis,12.9,10.8,2817
Meschers-sur-Gironde,13.1,10.9,2995
Montendre,12.4,10.9,3075
Nieul-sur-Mer,16.5,12.3,5617
Périgny,16.6,12.4,10806
Pons,11.6,10.4,3903
Puilboreau,14.5,11.8,5486
Rivedoux-Plage,15.5,12.0,2288
Rochefort,12.5,10.9,23599
La Rochelle,14.2,11.8,73239
Royan,12.5,11.1,17914
Saint-Agnant,12.9,10.8,2575
Saint-Georges-de-Didonne,14.2,11.2,4845
Saint-Georges-des-Coteaux,13.6,11.7,2579
Saint-Georges-d'Oléron,12.0,10.8,3452
Saint-Jean-d'Angély,12.1,11.2,6722
Saint-Jean-de-Liversay,12.9,10.9,2610
Sainte-Marie-de-Ré,15.6,11.9,3286
Saint-Martin-de-Ré,12.8,11.4,1732
Saint-Palais-sur-Mer,14.3,11.6,3739
Saint-Pierre-d'Oléron,11.8,10.4,6444
